# seed = 7, gamma = 0.33, beta = 0.33, dee = 10.0, dcc = 25.0, dec = 10.0, dsCnd = 500.0, dLocalhost = 0.02, hostBroker = EDGE 
#
# The columns have the following meaning: 
# instant[SECONDS] commCountUploadPartial delaySumUploadPartial[SECONDS] delayMaxUploadPartial[SECONDS] commCountUploadTot delaySumUploadTot[SECONDS] delayMaxUploadTot[SECONDS] commCountDownloadPartial delaySumDownloadPartial[SECONDS] delayMaxDownloadPartial[SECONDS] commCountDownloadTot delaySumDownloadTot[SECONDS] delayMaxDownloadTot[SECONDS] commCountDownloadMaxPartial delaySumDownloadMaxPartial[SECONDS] delayMaxDownloadMaxPartial[SECONDS] commCountDownloadMaxTot delaySumDownloadMaxTot[SECONDS] delayMaxDownloadMaxTot[SECONDS] runOnCloudPartial runOnEdgePartial runOnSmartphonePartial runOnCloudTot runOnEdgeTot runOnSmartphoneTot minTemp maxTemp avgTemp varianceTemp
0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0 0 0 0 0 17.0 25.0 21.0 0.0
900.0 376 53.08 0.51 376 53.08 0.51 14729 2644.18 0.53 14729 2644.18 0.53 370 160.98 0.53 370 160.98 0.53 208 3 99 208 3 99 18.9 21.0 19.15 0.47
1800.0 356 53.79 0.51 732 106.87 0.51 15017 135779.74 19.38 29746 138423.92 19.38 352 2933.45 19.38 722 3094.43 19.38 208 3 99 416 6 198 18.8 18.9 18.9 0.0
2700.0 310 52.95 0.51 1042 159.82 0.51 14670 2663.88 0.54 44416 141087.8 19.38 310 161.31 0.54 1032 3255.74 19.38 208 3 99 624 9 297 17.7 18.9 18.35 0.05
3600.0 310 52.95 0.51 1352 212.77 0.51 14671 2664.4 0.54 59087 143752.21 19.38 310 161.31 0.54 1342 3417.05 19.38 208 3 99 832 12 396 17.7 18.9 18.24 0.05
4500.0 376 53.09 0.51 1728 265.86 0.51 14725 2661.87 0.54 73812 146414.08 19.38 370 161.34 0.54 1712 3578.39 19.38 208 3 99 1040 15 495 17.6 18.7 18.23 0.05
5400.0 356 53.8 0.51 2084 319.66 0.51 15044 8589.43 19.46 88856 155003.5 19.46 352 180.85 19.46 2064 3759.24 19.46 208 3 99 1248 18 594 17.6 18.7 18.23 0.05
6300.0 310 52.95 0.51 2394 372.61 0.51 14728 2669.98 0.54 103584 157673.49 19.46 310 161.43 0.54 2374 3920.67 19.46 208 3 99 1456 21 693 17.6 18.7 18.23 0.04
7200.0 310 52.95 0.51 2704 425.56 0.51 14728 2671.02 0.54 118312 160344.5 19.46 310 161.43 0.54 2684 4082.11 19.46 208 3 99 1664 24 792 17.6 18.7 18.25 0.04
8100.0 376 53.09 0.51 3080 478.65 0.51 14787 2670.97 0.54 133099 163015.47 19.46 370 161.54 0.54 3054 4243.64 19.46 208 3 99 1872 27 891 17.6 18.7 18.25 0.04
9000.0 356 53.8 0.51 3436 532.45 0.51 15077 8597.73 19.47 148176 171613.2 19.47 352 180.89 19.47 3406 4424.53 19.47 208 3 99 2080 30 990 17.6 18.7 18.25 0.04
9900.0 310 52.95 0.51 3746 585.4 0.51 14732 2672.74 0.54 162908 174285.93 19.47 310 161.48 0.54 3716 4586.02 19.47 208 3 99 2288 33 1089 17.6 18.7 18.22 0.04
10800.0 310 52.95 0.51 4056 638.35 0.51 14736 2673.25 0.54 177644 176959.19 19.47 310 161.49 0.54 4026 4747.5 19.47 208 3 99 2496 36 1188 17.6 18.7 18.15 0.05
11700.0 376 53.09 0.51 4432 691.44 0.51 14795 2673.21 0.54 192439 179632.4 19.47 370 161.59 0.54 4396 4909.09 19.47 208 3 99 2704 39 1287 17.6 18.7 18.15 0.05
12600.0 354 53.73 0.51 4786 745.17 0.51 14743 2662.33 0.54 207182 182294.72 19.47 350 161.57 0.54 4746 5070.66 19.47 208 3 99 2912 42 1386 17.6 18.7 18.15 0.05
13500.0 310 52.95 0.51 5096 798.12 0.51 14677 2653.1 0.54 221859 184947.82 19.47 310 161.52 0.54 5056 5232.18 19.47 208 3 99 3120 45 1485 17.6 18.7 18.15 0.04
14400.0 310 52.95 0.51 5406 851.07 0.51 14676 2653.11 0.54 236535 187600.93 19.47 310 161.52 0.54 5366 5393.7 19.47 208 3 99 3328 48 1584 17.6 18.7 18.14 0.04
15300.0 376 53.09 0.51 5782 904.16 0.51 14736 2653.57 0.54 251271 190254.5 19.47 370 161.63 0.54 5736 5555.33 19.47 208 3 99 3536 51 1683 17.6 18.7 18.14 0.04
16200.0 354 53.73 0.51 6136 957.89 0.51 14706 2649.63 0.54 265977 192904.13 19.47 350 161.56 0.54 6086 5716.89 19.47 208 3 99 3744 54 1782 17.6 18.7 18.14 0.04
17100.0 310 52.95 0.51 6446 1010.84 0.51 14676 2649.91 0.54 280653 195554.04 19.47 310 161.43 0.54 6396 5878.32 19.47 208 3 99 3952 57 1881 17.6 18.7 18.12 0.04
18000.0 310 52.95 0.51 6756 1063.79 0.51 14682 2651.46 0.54 295335 198205.49 19.47 310 161.43 0.54 6706 6039.75 19.47 208 3 99 4160 60 1980 17.6 18.7 18.11 0.04
18900.0 376 53.09 0.51 7132 1116.88 0.51 14741 2651.39 0.54 310076 200856.89 19.47 370 161.53 0.54 7076 6201.29 19.47 208 3 99 4368 63 2079 17.6 18.6 18.11 0.04
19800.0 354 53.73 0.51 7486 1170.6 0.51 14707 2647.06 0.54 324783 203503.94 19.47 350 161.5 0.54 7426 6362.79 19.47 208 3 99 4576 66 2178 17.6 18.6 18.11 0.04
20700.0 310 52.95 0.51 7796 1223.55 0.51 14676 2651.59 0.54 339459 206155.54 19.47 310 161.49 0.54 7736 6524.27 19.47 208 3 99 4784 69 2277 17.6 18.6 18.08 0.03
21600.0 310 52.95 0.51 8106 1276.5 0.51 14677 2653.14 0.54 354136 208808.68 19.47 310 161.49 0.54 8046 6685.77 19.47 208 3 99 4992 72 2376 17.6 18.6 18.08 0.03
22500.0 376 53.09 0.51 8482 1329.59 0.51 14737 2653.6 0.54 368873 211462.27 19.47 370 161.59 0.54 8416 6847.36 19.47 208 3 99 5200 75 2475 17.6 18.6 18.08 0.03
23400.0 354 53.73 0.51 8836 1383.32 0.51 14703 2649.91 0.54 383576 214112.18 19.47 350 161.56 0.54 8766 7008.92 19.47 208 3 99 5408 78 2574 17.6 18.6 18.08 0.03
24300.0 310 52.95 0.51 9146 1436.27 0.51 14668 2653.14 0.54 398244 216765.32 19.47 310 161.57 0.54 9076 7170.49 19.47 208 3 99 5616 81 2673 17.5 18.6 18.06 0.03
25200.0 310 52.95 0.51 9456 1489.22 0.51 14681 2658.76 0.54 412925 219424.08 19.47 310 161.57 0.54 9386 7332.06 19.47 208 3 99 5824 84 2772 17.5 18.6 18.04 0.03
26100.0 376 53.09 0.51 9832 1542.32 0.51 14741 2659.22 0.54 427666 222083.3 19.47 370 161.67 0.54 9756 7493.74 19.47 208 3 99 6032 87 2871 17.5 18.6 18.04 0.03
27000.0 354 53.73 0.51 10186 1596.05 0.51 14708 2654.72 0.54 442374 224738.02 19.47 350 161.61 0.54 10106 7655.35 19.47 208 3 99 6240 90 2970 17.5 18.6 18.04 0.03
27900.0 310 52.95 0.51 10496 1649.0 0.51 14668 2650.57 0.54 457042 227388.59 19.47 310 161.51 0.54 10416 7816.86 19.47 208 3 99 6448 93 3069 17.5 18.6 18.02 0.03
28800.0 310 52.95 0.51 10806 1701.95 0.51 14677 2654.15 0.54 471719 230042.74 19.47 310 161.51 0.54 10726 7978.37 19.47 208 3 99 6656 96 3168 17.5 18.6 18.0 0.03
29700.0 376 53.09 0.51 11182 1755.04 0.51 14734 2653.59 0.54 486453 232696.32 19.47 370 161.62 0.54 11096 8139.99 19.47 208 3 99 6864 99 3267 17.5 18.6 18.0 0.03
30600.0 354 53.73 0.51 11536 1808.77 0.51 14700 2648.58 0.54 501153 235344.9 19.47 350 161.56 0.54 11446 8301.54 19.47 208 3 99 7072 102 3366 17.5 18.6 18.0 0.03
31500.0 310 52.95 0.51 11846 1861.72 0.51 14668 2653.14 0.54 515821 237998.04 19.47 310 161.57 0.54 11756 8463.11 19.47 208 3 99 7280 105 3465 17.4 18.6 17.97 0.03
32400.0 310 52.95 0.51 12156 1914.67 0.51 14676 2656.21 0.54 530497 240654.25 19.47 310 161.57 0.54 12066 8624.68 19.47 208 3 99 7488 108 3564 17.4 18.6 17.96 0.03
33300.0 376 53.09 0.51 12532 1967.77 0.51 14735 2656.16 0.54 545232 243310.41 19.47 370 161.67 0.54 12436 8786.36 19.47 208 3 99 7696 111 3663 17.4 18.5 17.96 0.03
34200.0 354 53.73 0.51 12886 2021.49 0.51 14697 2649.62 0.54 559929 245960.03 19.47 350 161.61 0.54 12786 8947.97 19.47 208 3 99 7904 114 3762 17.4 18.5 17.96 0.03
35100.0 310 52.95 0.51 13196 2074.45 0.51 14664 2651.61 0.54 574593 248611.65 19.47 310 161.57 0.54 13096 9109.53 19.47 208 3 99 8112 117 3861 17.4 18.5 17.94 0.03
36000.0 310 52.95 0.51 13506 2127.4 0.51 14678 2656.21 0.54 589271 251267.85 19.47 310 161.57 0.54 13406 9271.1 19.47 208 3 99 8320 120 3960 17.4 18.5 17.92 0.03
36900.0 376 53.09 0.51 13882 2180.49 0.51 14737 2656.16 0.54 604008 253924.02 19.47 370 161.67 0.54 13776 9432.78 19.47 208 3 99 8528 123 4059 17.4 18.5 17.92 0.03
37800.0 354 53.73 0.51 14236 2234.22 0.51 14690 2641.94 0.54 618698 256565.96 19.47 350 161.51 0.54 14126 9594.29 19.47 208 3 99 8736 126 4158 17.4 18.5 17.92 0.03
38700.0 310 52.95 0.51 14546 2287.17 0.51 14655 2645.45 0.54 633353 259211.41 19.47 310 161.47 0.54 14436 9755.76 19.47 208 3 99 8944 129 4257 17.3 18.5 17.89 0.03
39600.0 310 52.95 0.51 14856 2340.12 0.51 14667 2649.03 0.54 648020 261860.44 19.47 310 161.47 0.54 14746 9917.22 19.47 208 3 99 9152 132 4356 17.3 18.5 17.88 0.04
40500.0 376 53.09 0.51 15232 2393.21 0.51 14726 2648.98 0.54 662746 264509.42 19.47 370 161.57 0.54 15116 10078.8 19.47 208 3 99 9360 135 4455 17.3 18.5 17.88 0.04
41400.0 354 53.73 0.51 15586 2446.94 0.51 14687 2645.03 0.54 677433 267154.45 19.47 350 161.61 0.54 15466 10240.41 19.47 208 3 99 9568 138 4554 17.3 18.5 17.88 0.04
42300.0 310 52.95 0.51 15896 2499.89 0.51 14667 2651.38 0.54 692100 269805.84 19.47 310 161.52 0.54 15776 10401.93 19.47 208 3 99 9776 141 4653 17.3 18.5 17.85 0.04
