# seed = 2, gamma = 1.0, beta = 0.0, dee = 1.0, dcc = 25.0, dec = 50.0, dsCnd = 150.0, dLocalhost = 0.02, hostBroker = CLOUD 
#
# The columns have the following meaning: 
# instant[SECONDS] commCountUploadPartial delaySumUploadPartial[SECONDS] delayMaxUploadPartial[SECONDS] commCountUploadTot delaySumUploadTot[SECONDS] delayMaxUploadTot[SECONDS] commCountDownloadPartial delaySumDownloadPartial[SECONDS] delayMaxDownloadPartial[SECONDS] commCountDownloadTot delaySumDownloadTot[SECONDS] delayMaxDownloadTot[SECONDS] commCountDownloadMaxPartial delaySumDownloadMaxPartial[SECONDS] delayMaxDownloadMaxPartial[SECONDS] commCountDownloadMaxTot delaySumDownloadMaxTot[SECONDS] delayMaxDownloadMaxTot[SECONDS] runOnCloudPartial runOnEdgePartial runOnSmartphonePartial runOnCloudTot runOnEdgeTot runOnSmartphoneTot minTemp maxTemp avgTemp varianceTemp
0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0 0 0 0 0 17.0 25.0 21.0 0.0
900.0 376 7.97 0.03 376 7.97 0.03 15284 1091.94 0.2 15284 1091.94 0.2 370 21.95 0.12 370 21.95 0.12 300 10 0 300 10 0 18.9 21.0 19.22 0.57
1800.0 356 8.67 0.36 732 16.64 0.36 15568 150264.7 19.59 30852 151356.64 19.59 352 3033.03 19.59 722 3054.97 19.59 300 10 0 600 20 0 18.7 18.9 18.9 0.0
2700.0 310 7.83 0.03 1042 24.47 0.36 15222 1138.73 0.2 46074 152495.37 19.59 310 22.93 0.12 1032 3077.9 19.59 300 10 0 900 30 0 17.6 18.9 18.26 0.06
3600.0 310 7.83 0.03 1352 32.3 0.36 15221 1138.43 0.2 61295 153633.81 19.59 310 22.93 0.12 1342 3100.84 19.59 300 10 0 1200 40 0 17.6 18.7 18.22 0.05
4500.0 376 7.97 0.03 1728 40.27 0.36 15277 1137.74 0.2 76572 154771.54 19.59 370 22.93 0.12 1712 3123.77 19.59 300 10 0 1500 50 0 17.6 18.7 18.22 0.05
5400.0 356 8.67 0.36 2084 48.95 0.36 15606 7245.86 19.69 92178 162017.4 19.69 352 42.71 19.69 2064 3166.48 19.69 300 10 0 1800 60 0 17.6 18.7 18.22 0.05
6300.0 310 7.83 0.03 2394 56.78 0.36 15297 1162.02 0.2 107475 163179.43 19.69 310 23.38 0.13 2374 3189.86 19.69 300 10 0 2100 70 0 17.6 18.7 18.23 0.05
7200.0 310 7.83 0.03 2704 64.62 0.36 15295 1161.54 0.2 122770 164340.97 19.69 310 23.38 0.13 2684 3213.25 19.69 300 10 0 2400 80 0 17.6 18.7 18.25 0.04
8100.0 376 7.98 0.03 3080 72.59 0.36 15353 1161.23 0.2 138123 165502.2 19.69 370 23.38 0.13 3054 3236.63 19.69 300 10 0 2700 90 0 17.6 18.7 18.25 0.04
